SMILES,Idx,FID
[7*]=C1SC(=S)N([10*])C1=O,0,340
[7*]=C1SC(=S)N([10*])C1=O,6,381
[5*]N1c2ccccc2CCc2ccccc21,0,150
[16*]c1ccc([16*])c(C#N)c1,0,27
[16*]c1ccc([16*])c(C#N)c1,5,21
[9*]n1c2ccc([16*])cc2c2cc3c4ccccc4n4c5ccccc5c(c21)c34,0,387
[9*]n1c2ccc([16*])cc2c2cc3c4ccccc4n4c5ccccc5c(c21)c34,6,573
[16*]c1cc(C)c([16*])cc1C,0,63
[16*]c1cc(C)c([16*])cc1C,6,63
[5*]N1c2ccccc2C2(c3ccccc3-c3ccccc32)c2cc([16*])ccc21,0,42
[5*]N1c2ccccc2C2(c3ccccc3-c3ccccc32)c2cc([16*])ccc21,24,161
[14*]c1cc([14*])n2nc3ccccc3c2n1,0,230
[14*]c1cc([14*])n2nc3ccccc3c2n1,4,241
[14*]c1cc([16*])cc([14*])n1,0,14
[14*]c1cc([16*])cc([14*])n1,4,32
[14*]c1cc([16*])cc([14*])n1,7,14
[7*]=C(C#N)c1ccccc1,0,411
[9*]n1nc([14*])nc1[14*],0,121
[9*]n1nc([14*])nc1[14*],4,137
[9*]n1nc([14*])nc1[14*],7,140
[14*]c1ccccn1,0,14
[16*]c1ccc2c(c1)C1(CC1)c1cc([16*])ccc1-2,0,292
[16*]c1ccc2c(c1)C1(CC1)c1cc([16*])ccc1-2,13,292
[16*]c1ccc(P(=O)(c2ccccc2)c2ccccc2)cc1P(=O)(c1ccccc1)c1ccccc1,0,537
[16*]c1ccncc1,0,32
[7*]=C(c1ccc([16*])cc1)c1ccc([16*])cc1,0,16
[7*]=C(c1ccc([16*])cc1)c1ccc([16*])cc1,6,30
[7*]=C(c1ccc([16*])cc1)c1ccc([16*])cc1,13,30
[8*]C(C)(C)C,0,5
[16*]c1cc2c3c(c1)Oc1ccc([16*])cc1B3c1cc([16*])ccc1O2,0,89
[16*]c1cc2c3c(c1)Oc1ccc([16*])cc1B3c1cc([16*])ccc1O2,12,69
