FID,SMILES,frequency
124,[9*]n1c2ccccc2c2cc3c(cc21)C(C)(C)c1ccccc1-3,6
125,[8*]CCCCCCCCCCC,6
126,[16*]c1c(F)c(F)cc(F)c1F,6
127,[1*]C(=O)CCP1(=O)Oc2ccccc2-c2ccccc21,6
128,[14*]c1nc2c3ccccc3c3ccccc3c2o1,6
129,[16*]c1cccc2nc3c4ccccc4c4ccccc4c3nc12,6
130,[5*]N1c2ccccc2[Si](c2ccccc2)(c2ccccc2)c2ccccc21,6
131,[16*]c1ccc2nccnc2c1,6
132,[16*]c1ccccc1P(=O)(c1ccccc1)c1ccccc1,6
133,[16*]c1ccc2ccc(=O)oc2c1,6
134,[16*]c1cnc2nccnc2c1,6
135,[16*]c1cc2c3ccccc3ccc2c2ccccc12,6
136,[16*]c1cc2ccccc2oc1=O,6
137,[14*]c1nc[nH]n1,6
138,[14*]c1ncncc1C,6
139,[16*]c1c(C#N)c(C)nc(C)c1C#N,6
140,[14*]c1ncn[nH]1,6
141,[14*]c1ccnc(C)n1,6
142,[7*]=CC1=C(C#N)COC1(C)C,5
143,[5*]N1c2ccccc2B(c2ccccc2)c2ccccc21,5
144,[7*]=CC,5
145,[9*]n1ccc2c3ccccc3ccc21,5
146,[14*]c1nc2ccccn2n1,5
147,[16*]c1cccc(Cc2ccccc2)c1,5
148,[16*]c1ccc(B2c3ccccc3Nc3ccccc32)cc1,5
149,[7*]=C1OC(C)(C)C(C)=C1C#N,5
150,[5*]N1c2ccccc2CCc2ccccc21,5
151,[9*]n1c2ccc(C)cc2c2cc(C)ccc21,5
152,[14*]c1cc2c(ccc3ccccc32)[nH]1,5
153,[16*]c1ccc(O)cc1,5
154,[11*]SC,5
155,[14*]c1ccco1,5
156,[14*]c1ccnc2ncnn12,5
157,[16*]c1c[nH]c2ccc3ccccc3c12,5
158,[16*]c1ccc2c(c1)-c1ccccc1C2=O,5
159,[9*]n1c2ccccc2c2c3oc4ccccc4c3ccc21,5
160,[5*]N1c2ccccc2C(C)(C)C2C=CC=CC21,5
161,[16*]c1ccc2c(c1)C1(c3ccccc3N2)c2ccccc2-c2ccccc21,5
162,[14*]c1cc(C#N)ccn1,5
163,[16*]c1ccc2c(c1)Sc1ccccc1N2,5
164,[16*]c1ccccc1B(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,5
165,[16*]c1ccccc1S(=O)(=O)c1ccccc1,5
166,[16*]c1ccc2c(c1)C(=O)c1ccccc1-2,5
167,[16*]c1cc2[nH]ccc2c2ccccc12,5
168,[14*]c1ccn2ncnc2n1,5
169,[16*]c1ccc2c(c1)-c1ccccc1S2(=O)=O,5
170,[16*]c1ccc2cc3ccccc3cc2c1,5
171,[16*]c1ccc2c(c1)c1ccccc1n2/C=C/c1ccccc1,5
172,[9*]n1c2ccccc2c2c3c(ccc21)-c1ccccc1C31c2ccccc2-c2ccccc21,4
173,[9*]n1c2ccc(C#N)cc2c2cc(C#N)ccc21,4
174,[16*]c1ccc2n[nH]nc2c1,4
175,[5*]N1c2ccccc2C2(c3ccccc31)c1ccccc1C1(c3ccccc3Nc3ccccc31)c1ccccc12,4
176,[16*]c1ccc2c(c1)P(=O)(c1ccccc1)c1ccccc1-2,4
