FID,SMILES,frequency
440,[16*]c1cnc2nc3c4ccccc4c4ccccc4c3nc2c1,1
441,[9*]n1c2ccccc2c2cc3c(cc21)-c1ccccc1S3(=O)=O,1
442,[16*]c1ccc(O)cc1C,1
443,[16*]c1ccc2[nH]c3c(P(=O)(c4ccccc4)c4ccccc4)cccc3c2c1,1
444,[16*]c1cccc2c1nc1c3ccccc3c3ccccc3n21,1
445,[16*]c1cc2ccccc2c2ccccc12,1
446,[4*]CCCCCCCCCCCCCCCCCC,1
447,[16*]c1ccc2ccc3cccc4c5nc6cc(C#N)c(C#N)cc6nc5c1c2c34,1
448,[9*]n1c2ccccc2c2cc3c(cc21)Nc1ccccc1C3(C)C,1
449,[16*]c1ccc2oc3ccccc3c(=O)c2c1,1
450,[9*]n1c2ccccc2c2cc3ccc(=O)oc3cc21,1
451,[7*]=CC1=CNc2ccccc2C1(C)C,1
452,[13*]C1N=C2c3ccccc3-c3ccccc3C2N1,1
453,[9*]n1c2ccccc2c2ccc3c(c21)-c1ccccc1C31c2ccccc2-c2ccccc21,1
454,[14*]c1cnc2cc(C#N)c(C#N)cc2n1,1
455,[16*]c1ccc2ccc3cccc4c5nc(C#N)c(C#N)nc5c1c2c34,1
456,[16*]c1cc(=O)oc2c1ccc1[nH]c3ccccc3c12,1
457,[14*]c1nccc(C#N)n1,1
458,[9*]n1c2ccccc2c2c3oc(=O)ccc3ccc21,1
459,[5*]N1CN=C2c3ccccc3-c3ccccc3C21,1
460,[16*]c1ccc(C2(c3c(F)c(F)nc(F)c3F)c3ccccc3-c3ccccc32)cc1,1
461,[14*]c1cc2sc3cc(C4=CC5SC=CC5S4)sc3c2s1,1
462,[16*]c1c(C#N)cc(F)cc1C#N,1
463,[14*]c1cc(C#N)ncn1,1
464,[9*]n1c(=O)c2ccccc2c2ccccc2c1=O,1
465,[16*]c1ccc2[nH]c3cc4c(cc3c2c1)-c1ccccc1C4(C)C,1
466,[16*]c1c(C2=CC3SC=CC3S2)sc2c1sc1ccsc12,1
467,[14*]c1cc2sc3cc(C)sc3c2s1,1
468,[9*]n1c2ccccc2c(=O)c2ccccc21,1
469,[16*]c1ccc2c(c1)-c1ccccc1C2(C)C,1
470,[10*]N1C(=O)C(c2ccccc2)=C(c2ccccc2)C1=O,1
471,[9*]n1c2ccccc2c2c3c(ccc21)-c1ccccc1C3(c1ccccc1)c1ccccc1,1
472,[16*]c1c(C2=CC3Sc4ccsc4C3S2)sc2c1sc1ccsc12,1
473,[5*]N1c2ccccc2C(C)(C)c2ccc3[nH]c4ccccc4c3c21,1
474,[16*]c1cc(=O)oc2cc3[nH]c4ccccc4c3cc12,1
475,[5*]N1c2ccccc2C2(c3ccccc3Oc3ccccc32)c2ccccc21,1
476,[16*]c1cccc(F)c1,1
477,[5*]N1C=C(C)C(C)(C)c2ccccc21,1
478,[16*]c1c(F)cc(C#N)cc1F,1
479,[5*]N1c2ccccc2C(C)(C)c2cc3c(cc21)[nH]c1ccccc13,1
480,[16*]c1cccc2c1C(=O)c1ccccc1-2,1
481,[16*]c1ccc2nc3c4cccc5ccc6cccc(c3nc2c1)c6c54,1
482,[16*]c1cc2ccc3cccc4ccc(c1)c2c34,1
483,[16*]c1cccc2c3ccccc3n3c4ccccc4nc3c12,1
484,[7*]=Cc1c(C)cccc1C,1
485,[9*]n1c2ccccc2c2c3ccccc3oc21,1
486,[9*]n1c2ccccc2c2cc(C3(c4c(F)c(F)nc(F)c4F)c4ccccc4-c4ccccc43)ccc21,1
487,[16*]c1ccc(F)cc1C#N,1
488,[14*]c1ncc(C#N)cn1,1
489,[4*]CCCCC,1
490,[9*]n1c2cccnc2c2c3sc4ccccc4c3ccc21,1
491,[16*]c1c(C)cccc1O,1
492,[16*]c1cc(F)cc(C#N)c1,1
493,[16*]c1cc2nc3c4ccc(C#N)cc4c4cc(C#N)ccc4c3nc2cc1F,1
494,[16*]c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2ccccc21,1
495,[14*]c1ccc(C#N)cn1,1
496,[16*]c1ccc(P(=S)(c2ccccc2)c2ccccc2)cc1,1
497,[14*]c1nc2c(ccc3cc4ccccc4cc32)s1,1
498,[9*]n1c2ccccc2n2c3ccccc3nc12,1
499,[16*]c1ccc2nc3c(nc2c1)-c1cccc2cccc-3c12,1
500,[16*]c1ccccc1C1=NN(c2ccccc2)CC1,1
501,[14*]c1cnc(C)s1,1
502,[16*]c1cccc2c1Nc1ccccc1O2,1
503,[5*]N1c2ccccc2C(C)(C)c2c1ccc1oc3ccccc3c21,1
504,[16*]c1c(C#N)cnc2cccnc12,1
505,[4*]CCCCCCCCCCCCCCC,1
506,[16*]c1ccc(/N=C/c2ccc3ccc4cccc5ccc2c3c45)cc1,1
507,[16*]c1cccc2c1S(=O)(=O)c1ccccc1C2=O,1
508,[9*]n1c2ccccc2c2cc3c(cc21)C(c1ccccc1)(c1ccccc1)c1ccccc1-3,1
509,[16*]c1csc2c1sc1cc(C3=CC4SC=CC4S3)sc12,1
510,[4*]CCCCCCCCCCCCCCCC,1
511,[16*]c1ccc2c(c1)C(CC)(CC)c1ccccc1-2,1
512,[16*]c1ccc(/N=C/c2ccccc2)cc1,1
513,[16*]c1cccc2c1Nc1ccccc1C2(C)C,1
514,[15*]C1C=CC=CC1,1
515,[5*]N1c2ccccc2SC2C=CC=CC21,1
516,[16*]c1c(F)cccc1F,1
517,[16*]c1ccc2c(c1)Oc1ccccc1N2,1
518,[9*]n1c2ccccc2c2c3ccccc3sc21,1
519,[13*]C1CC(c2ccccc2)=NN1c1ccccc1,1
520,[16*]c1cccc2c1-c1ccccc1C2=O,1
521,[5*]N1c2ccccc2C2(c3ccccc31)c1ccccc1C(C)(C)c1ccccc12,1
522,[16*]c1ccc2c(c1)SC1C=CC=CC1N2,1
523,[14*]c1ccc2nc3c4ccccc4c4ccccc4c3nc2n1,1
524,[16*]c1ccc2c(c1)COC2=O,1
525,[16*]c1cnc(C#N)nc1,1
526,[9*]n1c2c(c3ccccc31)C1(C3=C(c4ccccc41)C(c1ccccc1)(c1ccccc1)c1ccccc13)c1ccccc1-2,1
527,[16*]c1ccccc1F,1
528,[14*]c1ncc(C)cn1,1
529,[16*]c1ccc2[nH]c3ccc(Cc4ccccc4)cc3c2c1,1
530,[16*]c1ccc(/C=N/c2ccccc2)cc1,1
531,[9*]n1ccc2c3c(ccc4ccc5ccccc5c43)ccc21,1
532,[16*]c1ccc2c(=O)c3ccccc3[nH]c2c1,1
533,[16*]c1ccc(C2(c3ncncn3)c3ccccc3-c3ccccc32)cc1,1
534,[16*]c1c(C)cc(P(=O)(c2ccccc2)c2ccccc2)cc1C,1
535,[7*]=Cc1cc2sc3ccsc3c2s1,1
536,[9*]n1c2ccccc2c2cc(C3(c4ncncn4)c4ccccc4-c4ccccc43)ccc21,1
537,[16*]c1ccc(P(=O)(c2ccccc2)c2ccccc2)cc1P(=O)(c1ccccc1)c1ccccc1,1
538,[16*]c1cc(P(=O)(c2ccccc2)c2ccccc2)c2[nH]c3ccccc3c2c1,1
539,[16*]c1csc2c1sc1cc(C3=CC4Sc5ccsc5C4S3)sc12,1
540,[16*]c1cc2c(=O)c3ccccc3n3c4ccccc4c(=O)c(c1)c23,1
541,[14*]c1cc2sc3cc(C4=CC5Sc6ccsc6C5S4)sc3c2s1,1
542,[16*]c1ccc(P(=O)(c2ccccc2)c2ccccc2)cc1C,1
543,[16*]c1ccccc1C1(c2ccccc2)c2ccccc2Nc2ccccc21,1
544,[16*]c1ccc2c(c1)c1cc3ccccc3c3c4c5ccccc5ccc4n2c13,1
545,[14*]c1ccc(C#N)c(C#N)n1,1
546,[14*]c1ccc(B(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)s1,1
547,[16*]c1ccc(Br)cc1,1
548,[13*]C1CC(c2ccc([N+](=O)[O-])cc2)=NN1c1ccccc1,1
549,[9*]n1c2ccccc2c2ncccc21,1
550,[16*]c1ccc2c(c1)C(C)(C)c1cc3c(cc1-2)C(c1ccccc1)(c1ccccc1)c1cc2c(cc1-3)C(c1ccccc1)(c1ccccc1)c1cc(F)ccc1-2,1
551,[16*]c1ccc(Cc2ccc3[nH]c4ccccc4c3c2)cc1,1
552,[16*]c1c2[nH]c3ccccc3c2cc2c1[nH]c1ccccc12,1
553,[16*]c1ccc2c3nc(C#N)c(C#N)nc3c3cccc4ccc1c2c43,1
554,[16*]c1c2c3c(ccc([N+](=O)[O-])c3c3cc4ccccc4cc13)N(C)C2=O,1
555,[16*]c1ccc2c(c1)c(=O)c1cccc3c(=O)c4ccccc4n2c31,1
556,[16*]c1ccc(C)c2ccccc12,1
557,[16*]c1c(F)cccc1C#N,1
558,[7*]=C(OB(F)F)c1ccc2c(c1)-c1ccccc1C2,1
559,[10*]N1C(=O)C(c2ccc3[nH]c4ccccc4c3c2)=C(c2ccc3[nH]c4ccccc4c3c2)C1=O,1
560,[9*]n1c2ccccc2c2c3c(ccc21)C(C)(C)c1ccccc1N3,1
561,[9*]n1ccc2c3c(ccc4ccc5cc6ccccc6cc5c43)ccc21,1
562,[7*]=Cc1ccc(B(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)cc1,1
563,[4*]CCCCCCCCCCCCCCCCCCC,1
564,[16*]c1c2c3c(ccc(F)c3c3cc4ccccc4cc13)N(C)C2=O,1
565,[16*]c1ccnc2ccccc12,1
566,[16*]c1ccc(/N=C/c2c3ccccc3cc3ccccc23)cc1,1
567,[16*]c1cc(C)c(C)c(C)c1,1
568,[9*]n1ccc2c3c(ccc4cnc5ccccc5c43)ccc21,1
569,[16*]c1ccc2c(=O)c3ccccc3oc2c1,1
570,[5*]N(C=C(c1ccccc1)c1ccccc1)C=C(c1ccccc1)c1ccccc1,1
571,[5*]N1CCCCCC1,1
572,[16*]c1ccc2c(c1)sc1ccccc12,1
573,[16*]c1ccc2[nH]c3c(cc4c5ccccc5n5c6ccccc6c3c45)c2c1,1
574,[16*]c1ccnc2cccnc12,1
575,[16*]c1cccc2oc3ccccc3c12,1
576,[16*]c1ccc2c(c1)c1ccccc1n1ccnc21,1
577,[16*]c1ccc(S(=O)(=O)c2ccc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)cc2)cc1,1
578,[16*]c1c2ccccc2nc2ccccc12,1
579,[16*]c1ccc2c(c1)-c1ccccc1C21c2ccccc2N2c3ccccc3C(C)(C)c3cccc1c32,1
580,[16*]c1cccc2sc3ccccc3c(=O)c12,1
581,[9*]n1c2ccccc2c2cc3sc4ccccc4c3cc21,1
582,[16*]c1ccc2c(c1)-c1ccccc1C21c2ccccc2Nc2ccccc21,1
583,[16*]c1ccc2c3ccccc3n3c(nc4c5cccc6ccc7cccc(c7c65)c43)c2c1,1
584,[5*]N1c2ccccc2C(C)(CC)c2ccccc21,1
585,[13*]C1CC(c2ccc(Br)cc2)=NN1c1ccccc1,1
586,[5*]N1c2ccccc2C(C)(C)c2c1ccc1sc3ccccc3c21,1
587,[16*]c1ccc(C#N)cc1F,1
588,[16*]c1ccc(Cl)cc1,1
