,ID,SMILES,HOMO,LUMO,S1,T1,f_S1,f_T1
20,27,CC1(C)c2ccccc2N(c2ccc(-n3c4ccccc4c4c5c(ccc43)-c3ccccc3C5(c3ccccc3)c3ccccc3)c3nc(-c4cnc(-c5ccc6ccccc6c5)nc4-c4ccc5ccccc5c4)c(-c4ccccc4)nc23)C2C=CC=CC21,-5.000638978,-2.354330328,2.1137,1.9708,0.0237,0.0
21,28,N#Cc1c(-c2ccc(Cc3ccccc3)cc2)c(F)cc(-n2c3ccccc3c3c4c(ccc32)-c2ccccc2C4(c2ccccc2)c2ccccc2)c1-c1cncnn1,-5.30350186,-2.226708862,2.5373,2.2978,0.0212,0.0
22,30,CN1C(=O)c2c(-c3ccccc3)c3cc4ccccc4cc3c3c([N+](=O)[O-])ccc1c23,-5.693713336,-2.3752831060000004,3.0287,1.8893,0.1531,0.0
23,31,CCCCc1ccc2c(c1)c1ccc3c(c4cc(C(C)C)ccc4n3CC)c1n2-c1cc(C#N)c(-c2ccc3c(c2)nc(-c2ccc4c(c2)C(C)(C)c2ccccc2-4)n3-c2ccc3ccccc3c2)c(C#N)c1-c1cc(C(C)(C)C)ccc1F,-5.049891612,-1.931465172,2.5911,2.5683,0.0018,0.0
24,32,Cc1cc(-c2nc(-c3ccc4c(c3)-c3ccccc3C4(C)C)nc(C3(c4ccccc4)c4ccccc4-c4ccccc43)n2)cc(-n2c3ccccc3c3c2ccc2c4cc(-c5nc(-c6cccc7ccccc67)nc(C6(c7ccccc7)c7ccccc7-c7ccccc76)n5)ccc4n(-c4ccccc4)c23)c1,-5.093974080000001,-1.960037142,2.7116,2.4525,0.0024,0.0
25,33,O=c1cc(N2c3ccccc3Oc3ccccc32)c2ccc3c(c4ccccc4n3-c3ccc4c(c3)C3(c5ccccc5Oc5ccccc53)c3ccccc3-4)c2o1,-4.838186920000001,-1.835681044,2.249,2.2289,0.0002,0.0
26,34,CC1(C)c2ccccc2N2c3ccccc3C3(c4ccccc4-c4cc(-c5nc6c([nH]5)C5CC=Cc7ccc8cccc-6c8c75)ccc43)c3cccc1c32,-4.85859547,-1.2642416440000002,3.0661,2.0848,0.1872,0.0
27,37,CC1(C)c2cc(-c3ccccc3C3(c4ccccc4)c4ccccc4-c4ccc(-n5c6ccccc6c6c7c(ccc65)-c5ccccc5C75c6ccccc6-c6ccccc65)cc43)ccc2N(c2cncnc2-c2ccc(C3(c4nc(-c5ccccc5)nc(-c5ccccc5)n4)c4ccccc4-c4ccccc43)cc2)C2C=CC=CC21,-5.045537788,-1.8639809000000005,2.9254,2.4734,0.0295,0.0
28,38,CC1=CN(c2ccc(-c3cc4c(=O)c5cc(N6C7=CC=CCC7C(c7ccccc7)(c7ccccc7)c7ccccc76)ccc5n5c6ccc(C(C)(C)C)cc6c(=O)c(c3)c45)cc2)c2ccccc2C1(C)C,-4.6463465500000005,-2.3608610640000003,1.8629,1.8403,0.007,0.0
29,39,O=P(c1ccccc1)(c1ccccc1)c1ccccc1-c1nc(-c2ccccc2)c(-n2c(-n3c4ccccc4c4ccccc43)cc3cc(-n4c5ccccc5c5oc6ccccc6c54)ccc32)o1,-5.0594156020000005,-1.601118776,3.1678,2.6959,0.0146,0.0
30,40,CCc1nc(C#N)c(C#N)nc1-n1ccc2c3cc(-n4c5ccccc5c5cc(C)ccc54)c(-n4c5ccccc5c5cc6c(cc54)C(c4ccccc4)(c4ccccc4)c4ccccc4-6)cc3ccc21,-5.213160012,-2.9121640280000003,2.0509,2.0254,0.0142,0.0
31,41,CN(C)c1cccc2c1C1(c3ccccc3-2)c2ccccc2N(c2cnc(S(=O)(=O)c3cnccn3)cn2)c2ccccc21,-5.731537182,-2.01636474,3.2946,2.7449,0.0115,0.0
32,45,N#CCc1ccc(-c2c(-n3c4ccccc4c4ccc5c6ccccc6sc5c43)cc(C#N)nc2-n2c3ccccc3c3cccnc32)s1,-5.7508572760000005,-2.409025242,2.7162,2.5555,0.0104,0.0
33,46,CC1(C)c2ccccc2N(c2ccc3c(c2)c2ccccc2c2nc4ncccc4nc32)c2ccc3oc4ccccc4c3c21,-4.875466538,-2.60277041,1.8825,1.8798,0.0,0.0
34,47,CC1(C)c2cc(-c3ccc4c(c3)c3cc5c(cc3n4-c3ccc(-c4cc(C#N)c(C(F)(F)CC(F)(F)C(F)(F)F)c(C#N)c4-n4c6c(c7ccccc74)C4(C7=C(c8ccccc84)C(c4ccccc4)(c4ccccc4)c4ccccc47)c4ccccc4-6)cc3C#N)C3(c4ccccc4-c4ccccc43)c3ccccc3-5)ccc2-c2cc3c(cc21)-c1cc2c(cc1C3(c1ccccc1)c1ccccc1)-c1ccc(F)cc1C2(c1ccccc1)c1ccccc1,-5.1628189220000005,-2.7807329660000004,2.102,2.0439,0.0068,0.0
35,48,N#Cc1ccc(-n2c3ccccc3c3ccc4oc5ccccc5c4c32)cc1-c1cnc2ccccn12,-5.650175096,-1.905070114,3.163,2.7633,0.1363,0.0
36,49,CC1(C)c2ccccc2N(c2ccc(-c3cccc4c3Oc3cccc5c3B4c3ccccc3O5)c(-n3c4ccccc4c4c5ccccc5oc43)c2)C2C=CC=CC21,-5.05043584,-1.779897674,2.8588,2.4696,0.0007,0.0
37,50,COc1c(-n2c3ccc(C4(c5ccccc5)c5ccccc5-c5ccccc54)cc3c3cc(-c4ccc5c(c4)C(c4ccccc4)(c4ccccc4)c4ccccc4-5)cc(-c4cc(C#N)cc(C#N)c4)c32)sc(C)c1F,-5.551397714,-2.001126356,3.0827,2.7755,0.0102,0.0
38,51,N#Cc1cc(-n2c3ccccc3c3cc(C4(c5ccccc5)c5ccccc5-c5ccccc54)ccc32)c(-c2ccc3c(c2)C2(c4ccccc4S3)c3ccccc3-c3ccccc32)cc1-c1ccnc(-c2ccccc2)n1,-5.5018729660000005,-2.14425832,2.843,2.6101,0.0763,0.0
39,52,C=Cc1ccc(N2c3ccccc3N(c3ccc(S(=O)(=O)c4ccc(B(c5c(C)cc(C)cc5C)c5c(C)cc(C)cc5C)cc4)cc3)c3ccccc32)cc1,-4.2664754060000005,-2.1652110980000003,1.7587,1.7566,0.0,0.0
40,53,Cc1ccc(N2c3ccccc3C3(c4ccccc4Sc4ccccc43)c3ccccc32)cc1-c1cnc2c(-c3ccc(N4c5ccccc5[Si](c5ccccc5)(c5ccccc5)c5ccccc54)cc3)nccc2n1,-5.077375126000001,-2.624267416,2.0622,2.055,0.0017,0.0
41,54,CCC1(CC)c2ccccc2-c2ccc(-n3c4ccc(-c5ccc6c(c5)Oc5ccccc5N6c5ccc6c(c5)C5(c7ccccc7-6)c6ccccc6S(=O)(=O)c6ccccc65)cc4c4cc5c6ccccc6n6c7ccccc7c(c43)c56)cc21,-4.386749794,-1.400842872,2.4338,2.4243,0.0003,0.0
42,55,CC1=CN(c2ccc(C#N)cc2)c2ccc(N3c4ccccc4C4(c5ccccc53)c3ccccc3C(C)(C)c3ccccc34)cc2C1(C)C,-4.950297888000001,-1.57962177,3.0059,2.6848,0.0001,0.0
43,56,CCCCC(CC)CC1(CC(CC)CCCC)c2cc3c(cc2-c2cc4c(cc21)-c1ccc(N(c2ccccc2)c2cc(-c5ccc([N+](=O)[O-])cc5)nc5ccccc25)cc1S4(=O)=O)S(=O)(=O)c1ccccc1-3,-5.736979462,-2.66127492,2.6911,2.2639,0.1129,0.0
44,57,CC1(C)c2ccccc2-c2cc3c4cc(-c5ccccc5)ccc4n(-c4ccc5c(ccn5-c5ccc6c(ccn6-c6cc7ncc(-c8cccnc8)nc7cc6-n6c7ccccc7c7sc8ccccc8c76)c5)c4)c3cc21,-4.860772382,-2.717330404,1.9573,1.9554,0.0024,0.0
45,58,CCc1ccc2c(c1)c1ccccc1n2-c1cc2c(cc1C#N)c1cc(C#N)c(-n3c4ccccc4c4cc5c(cc43)C(c3ccccc3)(c3ccccc3)c3ccccc3-5)cc1n2-c1cncnc1,-5.397925418,-2.1298362780000004,2.8002,2.6478,0.1276,0.0
46,59,O=c1c2ccccc2sc2ccc(-n3c4ccc(Cc5ccccc5)cc4c4cc(-c5ccc6c(c5)C5(c7ccccc7S6)c6ccccc6-c6ccccc65)ccc43)cc12,-5.084177976,-2.057453954,2.6292,2.4625,0.0056,0.0
47,60,CC1(C)C(=O)c2ccc(-n3c4ccc(-c5cccc6c5Nc5ccccc5O6)cc4c4cc(N5c6ccccc6C(C)(C)c6ccc7c(oc8ccccc87)c65)ccc43)cc2C1=O,-4.813152432000001,-2.407664672,2.1147,2.1092,0.0027,0.0
48,61,CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(N3c4ccccc4C(c4ccccc4)(c4ccccc4-c4ccc(N5c6ccccc6C(C)(C)c6ccc7c(sc8ccccc87)c65)cc4)c4cc(-c5cnncn5)ccc43)cc21,-4.949209432,-1.7578564400000003,2.7013,2.4012,0.0001,0.0
