MolID,SMILES,HOMO,LUMO,S1,T1,Est
28,O=C(/C=C(\O)c1ccc(N2c3ccccc3Oc3ccccc32)cc1)c1ccc(N2c3ccccc3Oc3ccccc32)cc1,-4.641448498,-2.0843932400000003,2.1238,2.1182,0.0056000000000002
29,Cc1cc(-n2c3ccccc3c3cc(-c4ccc5c(c4)c4ccccc4n5-c4ccc(C#N)c(C)c4)ccc32)ccc1C#N,-5.375612070000001,-1.6607117420000002,3.2662,2.8593,0.4068999999999998
30,c1ccc(-c2nc(-c3ccccc3)nc(-c3c4ccccc4c(-c4c5ccccc5c(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)c5ccccc45)c4ccccc34)n2)cc1,-4.980230428,-1.87894717,2.6749,1.692,0.9829
31,c1ccc(N(c2ccc(-c3nc4c5ccccc5c5ccccc5c4n3-c3ccccc3)cc2)c2ccc(-c3nc4c5ccccc5c5ccccc5c4n3-c3ccccc3)cc2)cc1,-4.750838326,-1.1507701060000002,3.1305,2.5073,0.6232000000000002
32,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2ccccc2c2cc3c(cc21)-c1ccccc1S3(=O)=O,-5.787320552000001,-1.6680588200000002,3.5582,2.7213,0.8369
33,Cc1nc(C)c(C#N)c(-c2ccc(N3c4ccccc4Oc4ccccc43)cc2)c1C#N,-4.742402792,-2.22861366,2.0522,2.0208,0.0314
34,O=C(c1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccc2oc3ccccc3c2c1,-5.4852740120000005,-1.816088836,3.2067,2.8082,0.3985000000000003
35,CC1(C)c2ccccc2N(c2ccc(-c3nc4ccccc4nc3-c3ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc3)cc2)c2ccccc21,-4.890160694,-2.169564922,2.3446,2.3423,0.0022999999999999
36,c1ccc2c(c1)Oc1ccccc1N2c1ccc(-c2nc3ccncc3nc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc2)cc1,-4.781859322,-2.5507966360000003,1.8759,1.8501,0.0257999999999998
37,CC1(C)c2ccccc2N(c2ccc(-c3nnc(-c4ccc(N5c6ccccc6C(C)(C)c6ccccc65)cc4)o3)cc2)c2ccccc21,-5.020231186,-1.983438946,2.5182,2.5108,0.0074
