,ID,SMILES,HOMO,LUMO,S1,T1,f_S1,f_T1
32,32,c1cnc2c(c1)-c1c(COCc3ccnc4oc5ccccc5c34)cccc1[SiH2:2]2,-6.23685288,-1.446013796,4.1409,2.9464,0.0004,0.0
33,33,Cc1c(C)c(-c2nncc3ncccc23)c(C)c(C)c1-c1ccc(C2(c3ccc(-c4ccc5c(c4)Nc4ccccc4C5(C)C)cc3)CCCCC2)cc1,-4.943767152,-2.037317518,2.7371,2.7371,0.0,0.0
34,34,c1ccc(N(c2ccccc2)c2cccc(CSCc3ccc(C4(c5ccc(-c6cnc7c(c6)[SiH2:2]c6cccnc6-7)cc5)CCCCC4)cc3)c2)cc1,-5.0749261,-1.536627758,3.1611,2.7931,0.0001,0.0
35,35,Cc1c(C)c(-c2cnco2)c(C)c(C)c1C=Cc1c2ccccc2cc2c1c1ccccc1n2C,-4.976692946,-1.511321156,3.0098,2.0902,0.196,0.0
36,36,Cn1c2cc(C=CC=Cc3ccno3)ccc2c2cc3ccccc3cc21,-5.05859926,-2.024256046,2.6968,1.6837,0.1043,0.0
37,37,Cc1cc(C)c(-c2ccc3ncoc3c2)c(C)c1C=Cc1ccc2c(c1)C(C)(C)c1ccccc1N2,-4.773695902,-0.994848784,3.4184,2.3534,1.0733,0.0
38,38,Cc1cc(-c2ccnc3ccncc23)c(C)cc1C#Cc1ccc2ncc3ccccc3c2c1,-5.718747824,-1.9654794220000005,3.3555,2.3626,0.7033,0.0
39,39,c1ccc2c(c1)CCc1ccc(-c3ccc(C4(c5ccc(-c6ccc(C7(c8ccc(-c9ncncn9)cc8)CCCCC7)cc6)cc5)CCCCC4)cc3)cc1N2,-4.9655362720000005,-1.835136816,2.9568,2.9566,0.0,0.0
40,40,c1ccc2c(c1)-c1ccnc(-c3ccc(C4(c5ccc(-c6nncs6)cc5)CCCCC4)cc3)c1[SiH2:2]2,-6.065148946000001,-1.625336922,3.9932,2.8672,0.2475,0.0
41,41,c1ccc2c(c1)oc1nccc(CSCc3ccc4c(c3)[SiH2:2]c3ccncc3-4)c12,-6.154402338000001,-1.54696809,4.0477,2.8986,0.153,0.0
42,42,Cc1cc(-c2cc(C)c(-c3c4ccccc4cc4ccccc34)cc2C)c(C)cc1-c1ccc2c(c1)[SiH2:2]c1ccncc1-2,-5.196288944,-1.657990602,3.4863,1.7629,0.0006,0.0
43,43,Cc1cc(C)c(-c2cccc3c2oc2ncccc23)c(C)c1-c1c(C)c(C)c(-c2ccc3c(c2)-c2ccccc2S3(=O)=O)c(C)c1C,-6.1361707,-1.7453391960000002,3.8988,2.9408,0.0103,0.0
44,44,Cc1cc(C)c(-c2nc3cc4ocnc4cc3o2)c(C)c1C#Cc1ccc2c(c1)CCc1ccccc1N2,-4.924174944000001,-1.441659972,3.1645,2.4064,0.1604,0.0
45,45,C(=Cc1cccc2oc3ncccc3c12)COCc1ccc2c(c1)sc1ccccc12,-5.902424774,-1.432408096,4.0286,2.8141,0.2277,0.0
46,46,CC(=O)c1cccc(-c2ccc(COCc3cccc4c3[CH2:2]c3ccccc3[SiH2:2]4)cc2)c1,-6.144878348,-1.4955385440000002,3.7434,3.1209,0.0003,0.0
47,47,Cn1c2ccccc2c(=O)c2c(C#Cc3ccc(C4(c5ccc(-c6ccnc7cccnc67)cc5)CCCCC4)cc3)cccc21,-5.331529602,-1.790782234,3.1134,2.3301,0.0023,0.0
48,48,Cc1cc(C)c(-c2ccnc3ncccc23)c(C)c1CSCc1ccnc2c1[CH2:2]c1ccccc1[SiH2:2]2,-6.333181236000001,-1.739352688,3.7806,2.9969,0.0,0.0
49,49,Cc1cc(C)c(-c2c(C)c(C)c(-n3c4ccccc4c4c3ccc3c5ccccc5n(-c5c(C)c(C)c(-c6c(C)cc(C)c(-c7cnc8c(ccc9cccnc98)c7)c6C)c(C)c5C)c34)c(C)c2C)c(C)c1Br,-4.948665204,-1.441659972,3.2941,3.2941,0.0,0.0
50,50,Cc1cc(C)c(-c2ccc3ccsc3c2)c(C)c1-c1ccc(C2(c3ccc(-c4cncc5c4[SiH2:2]c4ccccc4[SiH2]5)cc3)CCCCC2)cc1,-5.83412416,-1.2329485340000002,4.2036,3.1143,0.0672,0.0
51,51,Cc1c(C)c(-n2cnc3nc4ncn(-c5c(C)c(C)c(CSCc6ccc7c(c6)[SiH2]c6cnccc6[SiH2:2]7)c(C)c5C)c4nc32)c(C)c(C)c1CSCc1ccc2c(c1)[SiH2]c1cnccc1[SiH2:2]2,-6.1013401080000005,-1.48574244,3.7397,2.9594,0.0002,0.0
52,52,Cc1cc(C)c(-c2cncc3c2[SiH2:2]c2ccccc2-3)c(C)c1-c1ccc(-c2ccccc2)nc1,-6.116578492,-1.461796408,4.1081,2.9643,0.0019,0.0
53,53,Cc1c(C)c(-c2ccc3ncoc3c2)c(C)c(C)c1-c1ccc(C2(c3ccc(-c4cccc5c4[SiH2:2]c4ccncc4[SiH2]5)cc3)CCCCC2)cc1,-6.027869328,-1.197845828,4.3682,3.3947,0.0462,0.0
54,54,c1cnc2oc3ccc(-n4c5ccccc5c5cnccc54)cc3c2c1,-5.803375278,-1.694998106,3.5812,3.1399,0.0124,0.0
55,55,c1cnc2c(c1)[SiH2:2]c1cc(CSCc3c4ccoc4cc4ccoc34)ccc1[SiH2]2,-5.625140608,-1.070224362,4.1896,2.7752,0.0838,0.0
56,56,Cc1cc(-c2nncc3cccnc23)c(C)cc1-c1c(C)cc(C)c(-c2ccc3c(n2)oc2ncccc23)c1C,-6.026236644,-2.141809294,3.1149,2.7398,0.008,0.0
57,57,c1ccc2c(c1)-c1cc(CSCc3ccc(-c4c5ncoc5cc5ocnc45)cc3)cnc1[SiH2:2]2,-5.861879788,-1.5564920800000002,3.9146,2.7351,0.414,0.0
58,58,N#Cc1cccc(-c2ccc(C3(c4ccc(C#Cc5cccc6c5[SiH2:2]c5cccnc5-6)cc4)CCCCC3)cc2)c1,-5.709768062,-1.5398931260000002,3.9727,2.566,0.1955,0.0
59,59,c1ccc(P(c2ccccc2)c2ccc(-c3ccc(C4(c5ccc(-c6ccc(C7(c8ccc(-c9ccccc9-c9cnccn9)cc8)CCCCC7)cc6)cc5)CCCCC4)cc3)cc2)cc1,-5.595208068,-1.361386342,3.7672,3.1069,0.0048,0.0
60,60,Cc1cc(-c2nc3ccccc3n2C)c(C)cc1-c1cccc(-c2ccccn2)n1,-5.767184116,-1.393495794,4.0256,3.0519,0.0198,0.0
61,61,Cc1cc(-c2ccc(S(C)(=O)=O)cc2)c(C)cc1COCc1ccnc(-c2ccccn2)c1,-6.336718718,-1.384788146,4.3132,3.1465,0.0017,0.0
62,62,c1cnc2c(c1)[SiH2:2]c1cccc(COCc3ccc(C4(c5ccc(-c6cncc7c6-c6ccncc6[SiH2:2]7)cc5)CCCCC4)cc3)c1[SiH2]2,-6.249642238000001,-1.854729024,3.8038,3.1152,0.0329,0.0
63,63,C(=Cn1nnc2ccccc21)CSCc1cccc(-c2ccccn2)c1,-5.935078454,-1.4438368840000002,3.9731,3.0247,0.0645,0.0
64,64,c1cc2c(cn1)-c1ccc(-c3ccc(C4(c5ccc(CSCc6cc7cc8occc8cc7o6)cc5)CCCCC4)cc3)cc1[SiH2:2]2,-5.4909884060000005,-1.555947852,3.7507,2.7403,0.0516,0.0
65,65,Cc1c(C)c(-c2cccc3c2sc2ccccc23)c(C)c(C)c1-c1ccc(C2(c3ccc(-c4cnc5ncccc5c4)cc3)CCCCC2)cc1,-5.715482456,-1.7937754880000003,3.7281,2.8014,0.0339,0.0
66,66,Cc1c(C)c(-n2c3ccccc3c3cnccc32)c(C)c(C)c1COCc1cccc2c1-c1ccccc1C2C,-5.681196092,-0.915391496,4.2391,3.0456,0.0341,0.0
67,67,Nc1cccc(CSCc2ccc(C3(c4ccc(-c5cc6cccnc6c6ncccc56)cc4)CCCCC3)cc2)c1,-5.463232778,-1.433496552,3.8196,2.7335,0.0001,0.0
68,68,c1cnc2c(c1)[CH2:2]c1c(-c3ccc(C4(c5ccc(-c6ccc(C7(c8ccc(-c9cccc%10ocnc9%10)cc8)CCCCC7)cc6)cc5)CCCCC4)cc3)cccc1[SiH2:2]2,-5.668950962,-1.135803836,4.1413,2.9885,0.4342,0.0
69,69,O=Cc1cccc(-c2ccc(-c3ccc(-n4ccc5cnccc54)cc3)cc2)c1,-5.701604642,-1.843844464,3.5702,2.9052,0.0852,0.0
70,70,O=c1n(COCCSCBr)ccn1COCCSCc1cncs1,-5.54976503,-1.032400516,4.1771,3.3141,0.0015,0.0
71,71,Cc1cc(-n2ccc(=O)c3ccccc32)c(C)cc1C#Cc1coc2cc3ccoc3cc12,-5.635208826,-1.616629274,3.5175,2.4393,0.0488,0.0
72,72,Cc1cc(-c2c(C)cc(C)c(-c3ccnc4oc5ncccc5c34)c2C)c(C)cc1-c1ncno1,-6.563117566,-1.7216652780000004,4.2872,3.061,0.0037,0.0
73,73,Cc1cc(-c2cnc3oc4ccccc4c3c2)c(C)cc1C#Cc1ccnc2c1[SiH2:2]c1cccnc1[SiH2]2,-6.035760634000001,-2.001942698,3.6591,2.5481,1.2108,0.0
74,74,CC(=O)c1cccc(-c2ccc(C3(c4ccc(C#Cc5ncco5)cc4)CCCCC3)cc2)c1,-5.805007962,-1.544519064,3.7432,2.5843,0.0009,0.0
75,75,Cc1cc(C)c(-c2ccc3c(n2)sc2ccccc23)c(C)c1C=Cc1cccc2c1c1ccccc1n2C,-5.257514594,-1.27077238,3.5979,2.7015,0.033,0.0
76,76,Cc1cc(-c2c(C)c(C)c(-c3cnc4sc5ccccc5c4c3)c(C)c2C)c(C)cc1-c1nncs1,-6.07086334,-1.61227545,4.0828,2.8893,0.0013,0.0
77,77,Cc1cc(-c2nc3ccccc3o2)c(C)cc1C=Cc1cccc2c1C(C)C=C2,-5.437109834,-1.7676525440000002,3.3862,2.2082,1.3645,0.0
78,78,Cc1cc(C)c(-c2c(C)cc(C)c(-c3cccc4c3N(C)c3ccccc3O4)c2C)c(C)c1-c1cccc2c1-c1ncccc1[SiH2:2]2,-4.6923338160000005,-1.36465171,3.061,2.9819,0.0,0.0
79,79,C(=Cc1cnco1)CSCc1cccc2ncc3ccccc3c12,-5.888002732,-1.459347382,3.8816,2.627,0.0023,0.0
80,80,Cc1cc(-c2cccc(-c3cccnc3)c2)c(C)cc1CSCc1ccnc2oc3ccccc3c12,-6.111408326,-1.4993481400000002,3.9989,3.1467,0.0318,0.0
81,81,Cc1cc(-c2c(F)c(F)cc(F)c2F)c(C)cc1C=Cc1cccc2ncccc12,-5.688815284,-1.82044266,3.5242,2.2419,0.7979,0.0
82,82,O=Cc1ccccc1COCCOCc1cnc2c(c1)[SiH2:2]c1cccnc1[SiH2]2,-6.5380830780000005,-1.960309256,3.6213,3.0977,0.0001,0.0
83,83,c1cnc2oc3nccc(-c4cc5cc6occc6cc5o4)c3c2c1,-5.781334044,-2.114870008,3.3228,2.3413,0.4765,0.0
84,84,Cc1c(C)c(-c2ccnc(-c3ccccn3)c2)c(C)c(C)c1CSCc1cccc2c1Nc1ccccc1C2(C)C,-5.014516792,-1.290364588,3.4887,3.13,0.0,0.0
85,85,Cc1c(C)c(-c2c(C)c(C)c(-n3cnc4nc5ncn(-c6c(C)c(C)c(-c7c(C)c(C)c(-c8ccc9sccc9c8)c(C)c7C)c(C)c6C)c5cc43)c(C)c2C)c(C)c(C)c1-c1ccc2sccc2c1,-5.784871526,-0.870492686,4.5052,3.3029,0.3876,0.0
86,86,c1ccc(-c2cnccn2)c(-c2ccc(COCc3nc4cc5ncsc5cc4s3)cc2)c1,-6.193586754,-1.51295384,3.9417,3.0461,0.0238,0.0
87,87,Cc1c(C)c(-c2c(C)c(C)c(-c3ccc4sc5ncccc5c4c3)c(C)c2C)c(C)c(C)c1-c1ccc2c(c1)[SiH2:2]c1ccncc1-2,-6.025692416,-1.47485788,4.0366,2.9327,0.0378,0.0
88,88,Cc1cc(-c2cccc(-c3ncccn3)c2)c(C)cc1COCc1cccc2ccn(C)c12,-5.289624046,-1.330909574,3.7317,3.0433,0.001,0.0
89,89,Cc1cc(C)c(-c2c(C)cc(C)c(-c3cccc4c3sc3ccccc34)c2C)c(C)c1-c1ccc2ccsc2c1,-5.764462976,-0.935527932,4.1657,3.1416,0.0431,0.0
90,90,c1ccc2c(c1)ncc1cc(CSCc3ccnc4sc5ccccc5c34)ccc12,-6.120932316,-1.524654742,3.993,2.8127,0.0054,0.0
91,91,Cc1cc(-c2cnc(-c3ccccc3)cn2)c(C)cc1CSCc1nncc2cccnc12,-5.7674562300000005,-2.27623361,2.9676,2.7781,0.0271,0.0
92,92,Cc1cc(-c2nncc3ncccc23)c(C)cc1-c1ccc(C2(c3ccc(-c4cccnc4-c4ccccn4)cc3)CCCCC2)cc1,-5.81507618,-2.095549914,3.1636,2.8208,0.0077,0.0
93,93,Cc1cc(C)c(-c2cc3nccnc3cn2)c(C)c1CSCc1cnc2c(c1)[SiH2:2]c1ccccc1[CH2:2]2,-5.978072466,-2.373922536,3.2243,2.75,0.0023,0.0
94,94,c1ccc(-c2cnccn2)c(-c2ccc(-c3ccc(-c4ccc5c(n4)-c4ccccc4[SiH2:2]5)cc3)cc2)c1,-5.742693856000001,-1.638398394,3.671,2.6928,0.9599,0.0
95,95,c1cc(-c2ccc(-c3ccc(C4(c5ccc(-c6cccc7ncc8ccccc8c67)cc5)CCCCC4)cc3)cc2)c2c(c1)-c1ncccc1[SiH2:2]2,-5.807456988,-1.3480527560000002,3.9129,2.7795,0.0125,0.0
96,96,Cc1cc(-c2nc3ccccc3c3ccccc23)c(C)cc1COCc1cnc2cnncc2c1,-6.241478818,-2.1396323820000003,3.2606,2.8991,0.0,0.0
97,97,Cc1cc(-c2coc3cc4ccoc4cc23)c(C)cc1-c1c(C)c(C)c(-c2ccc3sc4ccccc4c3c2)c(C)c1C,-5.506498904000001,-0.988045934,4.1451,2.8057,0.0339,0.0
98,98,Cc1cc(C)c(-c2nc3ccccc3n2C)c(C)c1CSCc1cccc2c1Nc1ccccc1C2(C)C,-4.988665962,-0.6500803460000001,3.8512,3.1796,0.0895,0.0
99,99,Cc1cc(C)c(-c2cc3c(cn2)[SiH2:2]c2cnccc2-3)c(C)c1C=Cc1cc2c(cn1)-c1cnccc1[SiH2:2]2,-5.630310774000001,-2.004935952,3.2769,2.2216,0.0448,0.0
100,100,Cc1c(C)c(-c2ccc3sc4ccccc4c3c2)c(C)c(C)c1C#Cc1cc2ccccc2cn1,-5.493709546,-1.583975594,3.5602,2.3562,0.4216,0.0
