MolID,SMILES
616,CC(C)(C)c1ccc(-c2ccc3c(c2)C(C)(C)c2cc(-c4ccc(C(C)(C)C)cc4)ccc2N3c2ccc3c4c(cccc24)C(=O)N(c2ccc(C(C)(C)C)cc2)C3=O)cc1
1106,CC1(C)c2ccccc2N(c2ccc3c(c2)-c2cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc2P3(=O)c2ccccc2)c2ccccc21
650,O=C(/C=C/C(=O)c1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1)c1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1
889,Fc1ccccc1C1=CC(c2ccccc2)=CC(c2ccccc2F)=P12OCCO2
48,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-c4ccc(N5c6ccccc6[Si](c6ccccc6)(c6ccccc6)c6ccccc65)cc4)cc3)n2)cc1
812,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5c6c(ccc54)-c4ccccc4C6(c4ccccc4)c4ccccc4)cc3)n2)cc1
261,O=C(c1ccccc1)c1ccc2nc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)c(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)nc2c1
374,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5ccc(-n6c7ccccc7c7ccccc76)cc5c5cc(-n6c7ccccc7c7ccccc76)ccc54)cc3)n2)cc1
582,O=P(c1ccccc1)(c1ccccc1)c1ccc(P(=O)(c2ccccc2)c2ccc(P(=O)(c3ccccc3)c3ccccc3)cc2)cc1
287,CC(C)(C)c1cc(P(=O)(c2ccccc2)c2ccccc2)c2[nH]c3c(P(=O)(c4ccccc4)c4ccccc4)cc(C(C)(C)C)cc3c2c1
231,Cc1cc(P(=O)(c2ccccc2)c2ccccc2)ccc1-c1c2ccccc2cc2ccccc12
184,c1ccc2nc(-n3c4ccccc4c4ccccc43)c(-n3c4ccccc4c4ccccc43)nc2c1
79,CC1(C)c2ccccc2N(c2cc(-c3cc(-c4ccc(-c5ccccc5)cc4)nc(-c4ccccc4)n3)cc(N3c4ccccc4C(C)(C)c4ccccc43)c2)c2ccccc21
785,N#Cc1ccc(N2c3ccccc3Oc3ccccc32)cc1-c1cc(N2c3ccccc3Oc3ccccc32)ccc1C#N
894,c1ccc(-c2nc(-c3ccccc3)nc(C3(c4ccc5c(c4)c4ccccc4n5-c4ccccc4)c4ccccc4-c4ccccc43)n2)cc1
560,O=P(c1ccccc1)(c1ccccc1)c1ccc(P(=O)(c2ccccc2)c2ccccc2)cc1
804,CCCCCCCCCCCCSc1cc(-c2cc3sc4ccsc4c3s2)sc1-c1sc(-c2cc3sc4ccsc4c3s2)cc1SCCCCCCCCCCCC
1101,C/C=C\C(=C/c1cn(-c2ccc(C(=O)C(=O)c3ccc(-n4c5ccc(C(C)(C)C)cc5c5cc(C(C)(C)C)ccc54)cc3)cc2)c2ccc(C(C)(C)C)cc12)C(C)(C)C
703,c1ccc(-c2c3ccccc3c(-c3ccc4c(c3)Oc3ccccc3N4c3ccccc3)c3nsnc23)cc1
841,CC(C)(C)c1ccc(N(c2ccc(C(C)(C)C)cc2)c2cc(C(=O)c3cccnc3)cc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)c2)cc1
164,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3-n3c4ccccc4c4ccc5c(c43)-c3ccccc3C53c4ccccc4-c4ccccc43)n2)cc1
1105,CC1(C)c2ccccc2N(c2cc(N3c4ccccc4C(C)(C)c4ccccc43)cc(S(=O)(=O)c3ccccc3)c2)c2ccccc21
17,c1cc(-n2c3ccccc3c3ccccc32)cc(C2(c3cccc(-n4c5ccccc5c5ccccc54)c3)c3ccccc3Sc3ccccc32)c1
995,O=C(c1ccccc1)c1ccc(N2c3ccccc3C(c3ccccc3)(c3ccccc3)c3ccccc32)cc1
213,c1cc(-c2cc(-c3ccc4c(c3)sc3ccccc34)cc(-c3cccc4c3sc3ccccc34)c2)cc(-n2c3ccccc3c3ccccc32)c1
200,O=P(c1ccccc1)(c1ccccc1)c1ccc2c(c1)oc1c(P(=O)(c3ccccc3)c3ccccc3)c(-c3ccc(C4(c5ccc(-n6c7ccccc7c7ccccc76)cc5)c5ccccc5-c5ccccc54)cc3)ccc12
226,Fc1c(F)c(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)c2nsnc2c1-c1ccc(N(c2ccccc2)c2ccccc2)cc1
46,CC1(C)c2ccccc2N(c2ccc(-c3nc(-c4ccccn4)n(-c4ccccc4)n3)cc2)c2ccccc21
354,O=S1(=O)c2ccccc2C2(c3ccccc3-c3ccccc32)c2cc(-n3c4ccccc4c4ccccc43)ccc21
631,c1ccc(N(c2ccccc2)c2cccc(-c3ccc4cccnc4n3)c2)cc1
384,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3-n3c4ccccc4c4cc5c(cc43)C3(c4ccccc4-c4ccccc43)c3ccccc3-5)n2)cc1
89,CCCCN(CCCC)c1ccc(/C=C/c2ccc3nc(/C=C/C4=C(C#N)C(=C(C#N)C#N)OC4(C)c4ccc(C)cc4)c(-c4ccccc4)nc3c2)cc1
1024,C(=C/c1ccc(-c2cc(-c3ccccc3)cc(-c3ccccc3)c2)cc1)\c1ccc(-c2cc(-c3ccccc3)cc(-c3ccccc3)c2)cc1
320,c1ccc(N2c3ccccc3N(c3ccc(-c4nc5c6ccccc6c6ccccc6c5n4-c4ccccc4)cc3)c3ccccc32)cc1
822,CC1(C)c2ccccc2-c2ccc(-c3ccc4sc5ccc(-c6ccc7c(c6)C(C)(C)c6ccccc6-7)cc5c(=O)c4c3)cc21
534,Cc1ccc(C2=CC(c3ccccc3)=P3(C(c4ccccc4)=C2)N(C)CCN3C)cc1
714,Cc1nn(-c2ccccc2)c2c1c(=O)oc1ccc(-n3c4ccccc4c4cc(-n5c6ccccc6c6ccccc65)ccc43)cc12
721,C1=Cc2ccc3cccc4c3c2C(C1)c1c-4nc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)n1-c1ccccc1
262,CC1(C)c2ccccc2N(c2ccc(-c3ccc4c(c3)c3cc(-c5ccc(N6c7ccccc7C(C)(C)c7ccccc76)cc5)ccc3c3nc(C#N)c(C#N)nc43)cc2)c2ccccc21
997,c1ccc(-n2c3ccccc3c3cc(-c4cnc(-c5ccc6c(c5)c5ccccc5n6-c5ccccc5)nc4)ccc32)cc1
503,c1ccc(N(c2ccccc2)c2ccc(-c3ccc4c(c3)c3ccccc3n4-c3cnccc3-c3ccncc3)cc2)cc1
528,N#Cc1ccc(-n2c3ccccc3c3ccccc32)cc1-n1c2ccccc2c2ccccc21
522,O=C(c1ccncc1)c1ccc(-n2c3ccccc3c3ccccc32)cc1
4,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(Oc4ccc(-n5c6ccc(-n7c8ccccc8c8ccccc87)cc6c6cc(-n7c8ccccc8c8ccccc87)ccc65)cc4)cc3)n2)cc1
945,N#Cc1ccc(-n2c3ccccc3c3cc(-c4ccc5c(c4)c4ccccc4n5-c4ccc(C#N)c(C(F)(F)F)c4)ccc32)cc1C(F)(F)F
256,c1ccc(-c2cc(-c3ccc(-n4c5ccccc5c5c6oc7ccccc7c6ccc54)cc3)nc(-c3ccccc3)n2)cc1
836,Cc1cc(N(c2ccc(C(C)(C)C)cc2)c2ccc(C(C)(C)C)cc2)ccc1-c1ccc(-c2ccc(N(c3ccc(C(C)(C)C)cc3)c3ccc(C(C)(C)C)cc3)cc2C)c2nsnc12
148,CCN(CC)c1ccc(/C=C/c2sc(Br)cc2/C=C/C2=C(C#N)C(=C(C#N)C#N)OC2(C)C)cc1
637,CCCCc1ccc(-n2c3ccccc3c3cc(-c4ccc5c(c4)c4ccccc4n5-c4ccc(CCCC)cc4)ccc32)cc1
1081,c1ccc(N(c2ccccc2)c2ccc(-c3cc4nc5c6ccccc6c6ccccc6c5nc4cc3-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1
381,CC1(C)c2ccccc2N(c2ccccc2S(=O)(=O)c2ccccc2N2c3ccccc3C(C)(C)c3ccccc32)c2ccccc21
791,CCn1c2ccc(C(=C(c3ccccc3)c3ccccc3)c3ccccc3)cc2c2cc(-c3ccc(B(c4c(C)cc(C)cc4C)c4c(C)cc(C)cc4C)cc3)ccc21
431,c1ccc(-c2ccc3c(c2)c2ccccc2c2nc4c5cccc6ccc7cccc(c7c65)c4n32)cc1
211,c1ccc(C(=C(c2ccccc2)c2ccc3c(c2)c2ccccc2n3-c2cccc(-c3nc4ccccc4n3-c3ccccc3)c2)c2ccccc2)cc1
461,CC1(C)c2ccccc2N(c2ccc3c(c2)c2cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc2c2nc4ccccc4nc32)c2ccccc21
406,CC1(C)c2ccccc2N(c2ccc(-c3cncc(-c4ccc(N5c6ccccc6C(C)(C)c6ccccc65)cc4)c3C#N)cc2)c2ccccc21
838,Cc1ccc2c(c1)c1cc(-c3ccc4c(c3)c3cc(-c5ccc6c(c5)c5cc(C)ccc5n6-c5ccccc5)ccc3n4-c3cc4c5c(c3)Oc3ccccc3B5c3ccccc3O4)ccc1n2-c1ccccc1
494,N#Cc1ccc(-c2cc(N3c4ccccc4C4(c5ccccc5-c5ccccc54)c4ccccc43)cc(-c3ccc(C#N)cc3)c2C#N)cc1
301,CC1(C)c2ccccc2N(c2ccc(-c3cc(C#N)ccn3)cc2)c2ccccc21
344,Cc1ccccc1N(c1ccccc1)c1cccc(N(c2ccccc2)c2ccccc2C)c1C(=O)c1ccccc1
744,c1ccc(-c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)n3nc4ccccc4c3n2)cc1
